notActive;Not Active;Inactif;Inactivo
notCanceled;Valid;Validée;Válido
page;Page;Page;Página
pages;Pages;Pages;Páginas
params;Site parameters;Paramètres du site;Parámetros
password;Password;Mot de passe;Contraseña
pictures;Pictures;Photos;Imágenes
section;Section;Section;Sección
tags;Tags;Tags;Tags
telephone;Telephone;Téléphone;Teléfono
title;Name;Libellé;Título
translation;Translation;Traduction;Traducción
translations;Translations;Traductions;Traducciones
type;Type;Type;Tipo
user;User;Utilisateur;Usuario
users;Users;Utilisateurs;Usuarios
userType;User Type;Type d'utilisateur;Tipo de usuario
userTypes;User Types;Type d'utilisateurs;Tipos de usuario
loggedAs;Logged as;Connecté en tant que;Conectado como
login;Login;Identification;Conectarse
loginMessage;Please enter your email and password.;S'il vous plaît, tappez votre email et votre mot de passe.;Por favor, ingrese su email y contraseña.
logout;Logout;Déconnexion;Salir
mailDoesntExist;The email doesn't exist in our database.;L' email n'existe pas dans notre base de données.;El email no existe en nuestra base de datos.
march;March;Mars;Marzo
may;May;Mai;Mayo
modify;Modify;Modifier;Modificar
move;Move;Déplacer;Mover
information;Information;Information;Informacion
myInformation;My Information;Mes informations;Mis datos
myInformationMessage;Here you can update your information.;Ici vous pouvez mettre à jour vos informations.;Aqui puede modificar sus datos.
newPassword;New password;Nouveau mot de passe;Nueva contraseña
next;Next;Suivant;Siguiente
noItems;There are no items matching your search.;Il n'y a aucun élément correspondant à votre recherche.;No hay resultados para su búsqueda.
notEmpty;This field cannot be empty;Ce champ ne peut être vide;Este campo no puede estar vacío
november;November;Novembre;Noviembre
october;October;Octobre;Octubre
oldPassword;Old password;Ancien mot de passe;Contraseña antigua
oldPasswordError;Your old password is incorrect.;Votre ancien mot de passe est incorrect.;Su contraseña antigua no es correcta.
password;Password;Mot de passe;Contraseña
passwordConfirmation;Password confirmation;Confirmation de mot de passe;Confirmación de su contraseña
passwordConfirmationError;The passwords don't match;Les mots de passe ne correspondent pas;Las contraseñas no coinciden
passwordForgot;I forgot my password;J'ai oublié mon mot de passe;Olvidé mi contraseña
passwordForgotMessage;Please, enter your email address and we will send you a temporary password.;S'il vous plaît , entrez votre adresse email et nous vous enverrons un mot de passe temporaire.;Por favor, ingrese su email y le enviaremos una contraseña temporal.
passwordSentMail;We have sent an email with your temporary password.;Nous avons envoyé un e-mail avec votre mot de passe temporaire.;Hemos enviado un email con su cotraseña temporal.
pending;Pending;Attente;Pendiente
permissionsError;You don't have the permissions to visit this page.;Vous n'avez pas les permissions pour visiter cette page.;No tiene permisos para ver esta página.
print;Print;Imprimer;Imprimir
reservedRights;All rights reserved;Tous droits réservés;Derechos reservados
resultsFor;Results for;Résultats pour;Resultados para
save;Save;Enregistrer;Guardar
saveCheck;Save and check;Enregistrer et vérifiez;Guardar y revisar
savedForm;The record has been saved, please check if everything is right.;L'enregistrement a été sauvegardé, veuillez vérifier si tout est correct .;Este registro ha sido guardado, por favor revise si todo está en orden.
search;Search;Rechercher;Buscar
selectAll;Select All;Sélectionner tout;Seleccionar todos
send;Send;Envoyer;Enviar
september;September;Septembre;Septiembre
show;Show;Afficher;Mostrar
site_contact;Contact;Contact;Contacto
site_links;Links;Liens;Enlaces
tryLoginAgain;Try to login again.;Ressayez de vous connecter.;Intente conectarse nuevamente.
userExists;The user already exists;L'utilisateur existe déjà;El usuario ya existe
view;Show;Voir;Ver
viewFile;View the file;Voir le fichier;Ver el archivo
viewLess;View less;Moins d'infos;Ver menos
viewList;View the list;Voir la liste;Ver la lista
mailTemplates;Email templates;Gabarits des emails;Plantillas de los emails
template;Template;Gabarit;Plantilla
mails;Emails;Emails;Emails
mail;Email;Email;Email
subject;Subject;Sujet;Título del email
replyTo;Reply to;Répondre à;Responder a
updatePassword;Recover your password;Récuperer votre mot de passe;Recuperar su contraseña
passwordTempMessage;Please enter your email and your temporary password;SVP tappez votre email et mot de passe temporaire;Por favor, ingrese su email y contraseña temporal
updatePasswordError;Your email and/or password are not correct. Please try again.;Votre e-mail et / ou mot de passe ne sont pas correctes . Merci de ré-essayez.;Si email y/o contraseña no son correctos. Intente nuevamente.
idsAvailable;IDs available;IDs disponibles;IDs disponibles
latitude;Latitude;Latitude;Latitud
longitude;Longitude;Longitude;Longitud
passwordNewMessage;Leave empty if you don't want to change the current password;Laissez vide si vous ne voulez pas changer le mot de passe actuel;Deje este campo vacío si no desea cambiar la contraseña
information;Information;Information;Informacion
action;Action;Action;Accion
shortDescription;Short description;Description courte;Breve descripción
publishDate;Publish date;Date de publication;Fecha de publicación
posts;Posts;Articles;Articulos
no;No;No;No
yes;Yes;Oui;Si
comments;Comments;Commentaires;Comentarios
comments;Comment;Commentaire;Comentario
web;Website;Site web;Sitio web
banners;Banners;Bannières;Banners
content;Content;Contenu;Contenido
viewMore;See more;Voir;Ver más
downloadFile;Download file;Télécharger le fichier;Descargar el archivo
typeMenu1;Menu type 1;Type de menu 1;Tipo de menu 1
typeMenu2;Menu type 2;Type de menu 2;Tipo de menu 2
typeMenu3;Menu type 3;Type de menu 3;Tipo de menu 3
typeMenu4;Menu type 4;Type de menu 4;Tipo de menu 4
sections;Sections;Sections;Secciones
posts;Posts;Posts;Posts
banners;Banners;Banners;Banners
sections;Sections;Sections;Secciones
